Longitud de onda (nm),Absorbancia GOTAS LIMPIAR LENTES
776.658,0.176
776.926,0.176
777.194,0.177
777.462,0.178
777.731,0.18
777.999,0.181
778.268,0.18
778.536,0.18
778.805,0.179
779.074,0.179
779.343,0.179
779.611,0.179
779.88,0.18
780.149,0.179
780.418,0.179
780.687,0.18
780.957,0.181
781.226,0.18
781.495,0.18
781.764,0.179
782.034,0.179
782.303,0.18
782.573,0.18
782.842,0.18
783.112,0.181
783.382,0.18
783.651,0.18
783.921,0.181
784.191,0.182
784.461,0.182
784.731,0.182
785.001,0.183
785.271,0.183
785.541,0.183
785.812,0.184
786.082,0.185
786.352,0.185
786.623,0.185
786.893,0.184
787.164,0.185
787.434,0.185
787.705,0.185
787.976,0.186
788.246,0.186
788.517,0.187
788.788,0.186
789.059,0.186
789.33,0.185
789.601,0.184
789.872,0.183
790.144,0.183
790.415,0.183
790.686,0.184
790.957,0.183
791.229,0.182
791.5,0.182
791.772,0.182
792.043,0.183
792.315,0.184
792.587,0.185
792.859,0.186
793.13,0.187
793.402,0.188
793.674,0.188
793.946,0.188
794.218,0.188
794.49,0.188
794.762,0.188
795.035,0.187
795.307,0.187
795.579,0.188
795.851,0.188
796.124,0.188
796.396,0.189
796.669,0.189
796.941,0.189
797.214,0.188
797.486,0.188
797.759,0.189
798.032,0.189
798.305,0.189
798.578,0.189
798.85,0.189
799.123,0.189
799.396,0.188
799.669,0.189
799.942,0.189
800.216,0.188
800.489,0.187
800.762,0.188
801.035,0.188
801.308,0.188
801.582,0.188
801.855,0.188
802.129,0.188
802.402,0.188
802.676,0.188
802.949,0.187
803.223,0.187
803.496,0.187
803.77,0.189
804.044,0.189
804.317,0.19
804.591,0.19
804.865,0.191
805.139,0.19
805.413,0.19
805.687,0.19
805.961,0.191
806.235,0.19
806.509,0.189
806.783,0.188
807.057,0.187
807.331,0.188
807.605,0.189
807.879,0.189
808.153,0.19
808.428,0.189
808.702,0.189
808.976,0.19
809.251,0.192
809.525,0.195
809.799,0.198
810.074,0.202
810.348,0.206
810.622,0.21
810.897,0.214
811.171,0.214
811.446,0.212
811.72,0.207
811.995,0.202
812.27,0.197
812.544,0.192
812.819,0.188
813.093,0.188
813.368,0.191
813.643,0.197
813.917,0.203
814.192,0.209
814.467,0.211
814.741,0.21
815.016,0.206
815.291,0.203
815.566,0.199
815.84,0.195
816.115,0.194
816.39,0.195
816.665,0.197
816.939,0.198
817.214,0.198
817.489,0.199
817.764,0.199
818.039,0.2
818.313,0.201
818.588,0.201
818.863,0.198
819.138,0.197
819.412,0.195
819.687,0.191
819.962,0.19
820.237,0.19
820.512,0.191
820.786,0.194
821.061,0.195
821.336,0.194
